"region","year","sales","type"
"Asia/Oceania/Middle East","2014",34843066,"pc"
"Asia/Oceania/Middle East","2014",7713930,"cv"
"Asia/Oceania/Middle East","2015",36110706,"pc"
"Asia/Oceania/Middle East","2015",7300198,"cv"
"Asia/Oceania/Middle East","2016",39445239,"pc"
"Asia/Oceania/Middle East","2016",7412645,"cv"
"Asia/Oceania/Middle East","2017",40594317,"pc"
"Asia/Oceania/Middle East","2017",7720355,"cv"
"Asia/Oceania/Middle East","2018",39283920,"pc"
"Asia/Oceania/Middle East","2018",8363201,"cv"
"Asia/Oceania/Middle East","2019",35959799,"pc"
"Asia/Oceania/Middle East","2019",8043351,"cv"
"Bulgaria1","2005",8984,"cv"
"Bulgaria1","2006",8845,"cv"
"Bulgaria1","2007",11815,"cv"
"Bulgaria1","2008",12784,"cv"
"Bulgaria1","2009",3944,"cv"
"Bulgaria1","2010",3825,"cv"
"Bulgaria1","2011",4279,"cv"
"Bulgaria1","2012",3351,"cv"
"Bulgaria1","2013",3614,"cv"
"Bulgaria1","2014",3972,"cv"
"Bulgaria1","2015",4553,"cv"
"Bulgaria1","2016",4890,"cv"
"Bulgaria1","2017",5129,"cv"
"Bulgaria1","2018",5225,"cv"
"Bulgaria1","2019",4716,"cv"
"Central & South America","2005",2397500,"pc"
"Central & South America","2005",698375,"cv"
"Central & South America","2006",2747450,"pc"
"Central & South America","2006",710201,"cv"
"Central & South America","2007",3477058,"pc"
"Central & South America","2007",830528,"cv"
"Central & South America","2008",3646651,"pc"
"Central & South America","2008",1015799,"cv"
"Central & South America","2009",3711649,"pc"
"Central & South America","2009",926045,"cv"
"Central & South America","2010",4298085,"pc"
"Central & South America","2010",1217935,"cv"
"Central & South America","2011",4584491,"pc"
"Central & South America","2011",1395934,"cv"
"Central & South America","2012",4749693,"pc"
"Central & South America","2012",1394512,"cv"
"Central & South America","2013",4780657,"pc"
"Central & South America","2013",1484840,"cv"
"Central & South America","2014",4269758,"pc"
"Central & South America","2014",1295617,"cv"
"Central & South America","2015",3543111,"pc"
"Central & South America","2015",970433,"cv"
"Central & South America","2016",3146431,"pc"
"Central & South America","2016",905540,"cv"
"Central & South America","2017",3579086,"pc"
"Central & South America","2017",754450,"cv"
"Central & South America","2018",3810517,"pc"
"Central & South America","2018",942453,"cv"
"Central & South America","2019",3566864,"pc"
"Central & South America","2019",926782,"cv"
"Eu 15 Countries + Efta","2005",14565695,"pc"
"Eu 15 Countries + Efta","2005",2376384,"cv"
"Eu 15 Countries + Efta","2006",14820182,"pc"
"Eu 15 Countries + Efta","2006",2341547,"cv"
"Eu 15 Countries + Efta","2007",14842186,"pc"
"Eu 15 Countries + Efta","2007",2455125,"cv"
"Eu 15 Countries + Efta","2008",13602038,"pc"
"Eu 15 Countries + Efta","2008",2211214,"cv"
"Eu 15 Countries + Efta","2009",13668808,"pc"
"Eu 15 Countries + Efta","2009",1559242,"cv"
"Eu 15 Countries + Efta","2010",12984549,"pc"
"Eu 15 Countries + Efta","2010",1712171,"cv"
"Eu 15 Countries + Efta","2011",12815435,"pc"
"Eu 15 Countries + Efta","2011",1868381,"cv"
"Eu 15 Countries + Efta","2012",11773281,"pc"
"Eu 15 Countries + Efta","2012",1646633,"cv"
"Eu 15 Countries + Efta","2013",11555153,"pc"
"Eu 15 Countries + Efta","2013",1636178,"cv"
"Eu 15 Countries + Efta","2014",12148648,"pc"
"Eu 15 Countries + Efta","2014",1764541,"cv"
"Eu 15 Countries + Efta","2015",13261258,"pc"
"Eu 15 Countries + Efta","2015",1962508,"cv"
"Eu 15 Countries + Efta","2016",13971468,"pc"
"Eu 15 Countries + Efta","2016",2173752,"cv"
"Eu 15 Countries + Efta","2017",14320223,"pc"
"Eu 15 Countries + Efta","2017",2087531,"cv"
"Eu 15 Countries + Efta","2018",14210162,"pc"
"Eu 15 Countries + Efta","2018",2164004,"cv"
"Eu 15 Countries + Efta","2019",14308239,"pc"
"Eu 15 Countries + Efta","2019",2271803,"cv"
"Eu 28 Countries + Efta","2005",15622035,"pc"
"Eu 28 Countries + Efta","2005",2564001,"cv"
"Eu 28 Countries + Efta","2006",15961138,"pc"
"Eu 28 Countries + Efta","2006",2555352,"cv"
"Eu 28 Countries + Efta","2007",16147274,"pc"
"Eu 28 Countries + Efta","2007",2722937,"cv"
"Eu 28 Countries + Efta","2008",14911880,"pc"
"Eu 28 Countries + Efta","2008",2474026,"cv"
"Eu 28 Countries + Efta","2009",14533115,"pc"
"Eu 28 Countries + Efta","2009",1693598,"cv"
"Eu 28 Countries + Efta","2010",13830694,"pc"
"Eu 28 Countries + Efta","2010",1834396,"cv"
"Eu 28 Countries + Efta","2011",13642659,"pc"
"Eu 28 Countries + Efta","2011",2021778,"cv"
"Eu 28 Countries + Efta","2012",12567903,"pc"
"Eu 28 Countries + Efta","2012",1790428,"cv"
"Eu 28 Countries + Efta","2013",12344415,"pc"
"Eu 28 Countries + Efta","2013",1791626,"cv"
"Eu 28 Countries + Efta","2014",13061461,"pc"
"Eu 28 Countries + Efta","2014",1933900,"cv"
"Eu 28 Countries + Efta","2015",14287881,"pc"
"Eu 28 Countries + Efta","2015",2166400,"cv"
"Eu 28 Countries + Efta","2016",15160239,"pc"
"Eu 28 Countries + Efta","2016",2408210,"cv"
"Eu 28 Countries + Efta","2017",15631283,"pc"
"Eu 28 Countries + Efta","2017",2290635,"cv"
"Eu 28 Countries + Efta","2018",15636484,"pc"
"Eu 28 Countries + Efta","2018",2389382,"cv"
"Eu 28 Countries + Efta","2019",15819949,"pc"
"Eu 28 Countries + Efta","2019",2490496,"cv"
"Europe","2005",17906455,"pc"
"Europe","2005",3156871,"cv"
"Europe","2006",18685556,"pc"
"Europe","2006",3178284,"cv"
"Europe","2007",19618588,"pc"
"Europe","2007",3388134,"cv"
"Europe","2008",18821599,"pc"
"Europe","2008",3050831,"cv"
"Europe","2009",16608761,"pc"
"Europe","2009",2036590,"cv"
"Europe","2010",16499863,"pc"
"Europe","2010",2308825,"cv"
"Europe","2011",17167600,"pc"
"Europe","2011",2572419,"cv"
"Europe","2012",16191269,"pc"
"Europe","2012",2471909,"cv"
"Europe","2013",15942273,"pc"
"Europe","2013",2401136,"cv"
"Europe","2014",16154279,"pc"
"Europe","2014",2433371,"cv"
"Europe","2015",16410563,"pc"
"Europe","2015",2625426,"cv"
"Europe","2016",17291819,"pc"
"Europe","2016",2843010,"cv"
"Europe","2017",17974281,"pc"
"Europe","2017",2780818,"cv"
"Europe","2018",17909677,"pc"
"Europe","2018",2785551,"cv"
"Europe","2019",17972774,"pc"
"Europe","2019",2834391,"cv"
"Europe New Members","2005",1056340,"pc"
"Europe New Members","2005",187617,"cv"
"Europe New Members","2006",1140956,"pc"
"Europe New Members","2006",213805,"cv"
"Europe New Members","2007",1305088,"pc"
"Europe New Members","2007",267812,"cv"
"Europe New Members","2008",1309842,"pc"
"Europe New Members","2008",262812,"cv"
"Europe New Members","2009",864307,"pc"
"Europe New Members","2009",134356,"cv"
"Europe New Members","2010",846145,"pc"
"Europe New Members","2010",122225,"cv"
"Europe New Members","2011",827224,"pc"
"Europe New Members","2011",153397,"cv"
"Europe New Members","2012",794622,"pc"
"Europe New Members","2012",143795,"cv"
"Europe New Members","2013",789262,"pc"
"Europe New Members","2013",155448,"cv"
"Europe New Members","2014",912813,"pc"
"Europe New Members","2014",169359,"cv"
"Europe New Members","2015",1026623,"pc"
"Europe New Members","2015",203892,"cv"
"Europe New Members","2016",1188771,"pc"
"Europe New Members","2016",234458,"cv"
"Europe New Members","2017",1311060,"pc"
"Europe New Members","2017",203104,"cv"
"Europe New Members","2018",1426322,"pc"
"Europe New Members","2018",225378,"cv"
"Europe New Members","2019",1511710,"pc"
"Europe New Members","2019",218693,"cv"
"Guiana","2005",4085,"pc"
"Guiana","2005",1268,"cv"
"Guiana","2006",4071,"pc"
"Guiana","2006",1533,"cv"
"Guiana","2007",4437,"pc"
"Guiana","2007",1745,"cv"
"Guiana","2008",4357,"pc"
"Guiana","2008",1637,"cv"
"Guiana","2009",4446,"pc"
"Guiana","2009",1501,"cv"
"Guiana","2010",4393,"pc"
"Guiana","2010",1324,"cv"
"Guiana","2011",4719,"pc"
"Guiana","2011",1317,"cv"
"Guiana","2012",4357,"pc"
"Guiana","2012",1368,"cv"
"Guiana","2013",4256,"pc"
"Guiana","2013",1286,"cv"
"Guiana","2014",4248,"pc"
"Guiana","2014",1286,"cv"
"Guiana","2015",4414,"pc"
"Guiana","2015",1209,"cv"
"Guiana","2016",4671,"pc"
"Guiana","2016",1214,"cv"
"Guiana","2017",4858,"pc"
"Guiana","2017",1333,"cv"
"Guiana","2018",5373,"pc"
"Guiana","2018",1517,"cv"
"Guiana","2019",5450,"pc"
"Guiana","2019",1311,"cv"
"Mexico2","2005",454498,"cv"
"Mexico2","2006",503089,"cv"
"Mexico2","2007",509425,"cv"
